addr,amount
0x4f17c0918e62bba2a5ace373266e1f4ebf6d52ed,1
0xd1d6d437daa789a32c495f2052cd533aa75467ab,1
0x88d6cf89648150029b822a716c392d0b3f46f542,1
0x9ab63016da054f66b013c642b8348ac1b09d84ad,1
0xdd7f2400e5391744335c7cb83dd04d93df5a0293,1
0xfcf0849265c9da2333ef3f2bdfda852077117212,1
0xea163a11a77e78c91263bf40f3a0ef6ee8585a3b,1
0xd82babcc30aa8398bcaf0a18841b5728d1a4ec03,1
0x3eff592ba8a49f915e38b7274ea4ff0aabac8eff,1
0xd733844c61eb06cd5235be1f4b3f11299982fba5,1
0x8b9353d3c3c1f980510be93f47788bc5dc0d12a4,1
0xf9ed8bc441a1b76209f1626d35efdb5d29f4a50b,1
0xb404f05e71fc9d065a3bc26815a0d56880bc8315,1
0x460e897a567972a07a53b04a71ac01f3f73d195c,1
0xb5bb09ecaecb7fca6c837ab706ce321b3a3dd949,1
0x26ffee0eba37d695fa11dcc1826459292ea06306,1
0xcce52b2fbcab6f92e1b130c078ef1cb4333b2fa3,1
0x9d8f3be7c4de245c72c5ab8fe7f9db374f3ee1c9,1
0x3669680e444020fb4452487cfef77895347cef84,1
0xb866454db28a52190510187c68594c6638ab80f7,1
0x0fc10c96a6bdc43969db74cd8e788033748da0b9,1
0xc87f01dc15eeab102d0610266aeb5f2d6c9bb704,1
0x3dbd49eced0e5842e5b61b63102a6e0fe2588978,1
0xb8aeab7904eb200ec07c4ab65d889a0c2a9c79e0,1
0x81f2cb371985d4ecfe684011e489186bac647702,1
0x93b9fc76d17ae84fa53ffcefaca81e0e144539d5,1
0x3743f1eb56fae1f19789cdc481a84f4c7ec49686,1
0x60deb23ec8d413d32cabdcd5e886a2845cf79c71,1
0x117531aa4486d3bc4c638a61e21423ae2703ce05,1
0x5c391ffdbfda51587308fe2626d7104831735e2e,1
0x4839a9410e351a9312d95a01c1b47dd02a627e9e,1
0xc6926c462611bb4b2bd82d8d60a8523622665a51,1
0xf56a27d2b393e10162d30adecd63a7cce77785c5,1
0xc1a2fc82e5a1fda18671708f039114a3542b6354,1
0x015fe3c8931e78774970d8c48def653c81e3ad4c,1
0x2a11dff02e83c170b30bb9acb169d40921616908,1
0x64edc71b5a87134f3391906ce7e6624e32883c10,1
0x157f810ff9aaedb348d4849b2e732949f88cd82b,1
0xd0dc285a2f9f88b813613b3360c48cbdb4a04ca0,1
0x7801d2c0b92f159c977ee90ebbc6ac6b4e452d27,1
0x464725da1ebc575a8192da6cacb01b70df0be0c0,1
