HolderAddress,Quantity,
0xda1a941f2256469411f18170794bfc770078171b,300,
0x2a350fab2a136f53f6738ec8ab8516f9c73e2348,205,
0xc697be0b5b82284391a878b226e2f9afc6b94710,121,
0xc1563bdf57bdb990c89070aa72cda57fe8d6913d,99,
0xc972bb57b1dc271af27fce3686f3eb9b6a1ed8b7,61,
0x90c685c31953c2b2675f723e7fa74efc83fa8fca,61,
0xb8f9e33fe0a4a21e6e0f70d88d6904fe8137a7fe,60,
0xe69d6a4ab26a034c4e7f1038e9dfe40bb423486b,58,
0xbdda70eab3ed2494b7dc219951aaad7c5b7b06e1,48,
0x1bc9b2b85a8a9ab96c835d1143269df662c87a07,46,
0xa1af8a47b9077105772d3ee4f0192daa33230573,45,
0x0e95bfa75078c63a091177105494c179582bedf6,43,
0x986204cc94428354885e237d87dc0ff9836dfc89,35,
0x1ef7bcc3976056d3f0238b6f8653287d4d2ea24e,35,
0xd9d0120911ba8e617d1f7113ff5847815535c499,34,
0x867f3c7bac32012252fe6860e4f58adc0af9d638,31,
0xf7ba55933a15ab5c3946a32adfcfa5cc7f259aee,31,
0xc645677ce475e6bb1d14a42d0be45da24b636c99,28,
0x14b369e83cf6f3992b5f02b9fe1a1998820f2dc2,27,
0x97916e27632ec5f1f4c549ba7bf4c8850344a32b,25,
0x9474f08cb0b82863a04bdcd26238e274baaae42a,25,
0x2687fde6ba8ea164075abe7ebeceac395fed0dbf,25,
0x53dcb1143f7f2da6c9e182d4d42ec45b0ffa5726,23,
0xd0090551de20806bc1389df02cb7da6448fc135e,23,
0x0a61693925f8092040c3e5ff950daa58f8ef263e,23,
0x53a9a93830ae137383369e790e3b0da0c87ab099,23,
0x95272acc5000f969215508b1a1d3840e63af0680,23,
0x155f26ebab82734e99311084d0be5884c1b9ae5e,22,
0x6f583c478e61f08fde0097bdcb8ae7a88a28255b,21,
0x96236adb640ec620a85898378375cedf03ca21ff,21,
0xe8df15b815062f7a2516bb5d4178eb9c8d9ae552,21,
0x7ae400f5d217badf4b13295719bd1150c10d0080,21,
0xaf7392a6d728df880fe94e3d8e45235a2dfde9ea,20,
0x9d4c1c518442ad9eb23cb79a4792d508b49c81af,20,
0x83212aa318b1d71e1292116d2510f1c3fb38c998,20,
0x8c8cc1831a72db5ee2482ad9d7e1bc4a2e15a9eb,20,
0xee7c5c1d372d39956801836433afb307fc8d4c21,20,
0x91e10dfff22bc964bc5638176f0c4e42898a3470,20,
0xa217f131c0dc2cd06b96d0f928fc7160a4bf54a8,19,
0x442dccee68425828c106a3662014b4f131e3bd9b,19,
0x7f42b0b1aa0783916fb808032982a5eae74d78db,19,
0x076b426ed5c028f37c513686255cb378b8ea7c8a,19,
0x2b82ad50033363fffc3cf001743cbbbb83cdc11a,18,
0x1010595f96ab62b31bfeac411ec5f8f60db5dc23,18,
0xd8f35ef085d202fa7cad0e0c61da737b60e1f855,18,
0x9f387401b2c566f621081989f7753b7cbdd1fe77,18,
0x512daf3a6b8d1ec4306cf7fc220a938ee9cf0a6d,17,
0x3b844993beccf7935c643dc35dc4a538b7903702,17,
0x3f95d7fdce43f5052a0f9bd3d376dea6d22c2560,17,
0x604501403f4bce44e2e37cf9e42d605f11a165c5,17,
0x9fc676ca14e6d51762b7299aa2bd43dc02077c90,17,
0x5a2b6e84fadaa8b23ce782cb6226f87d1ba02416,16,
0x4b9e0566b1972d2f275c926eee8d9951d02b1733,16,
0x3121be326af3d70d61dbbef2899067862ab127b8,16,
0xb8182622e3e62cad7ea708c7a4feb76787de57b0,15,
0x49f191839c8d2716a5acf70e3913aa0ec3c012a3,15,
0xe3e5b592d283504312e07784d3a851152b0da6d3,15,
0x111bb2aac9d9ad2c44d67dc2200c8219eca62939,15,
0xd210dc1dd26751503cbf1b8c9154224707820da8,15,
0xb13532e7d5fc4f39a15966aefc314b5843e2e036,15,
0xf0dd30a0afeb439d1a553f6668b0ff8959afdc2d,15,
0x4c993a5f40431838ba3385841b94fd3519a7dbdd,14,
0xe10775adf44c95b109a9911d24a9ce6f1c1b5566,14,
0x814d60499bd401eca426c86ee9b4167967dff8dd,14,
0xf7f2475a0866ae4a8bb1c67b4e2277bd3319a101,14,
0x38b97b9fbf78c423196ea0cda490cd2496f92ab8,14,
0x7e58c7e2c80fa907aad0c1530080af249b185f10,14,
0x7dc4726de04af31e910dffae48f4fb09a7b893f0,14,
0x85d719772a2556fe778023205414115d11d5160c,13,
0x10fc43b3d62d2e87ba0c58be39d10eba1dbe738b,13,
0x5878e1dc19948cc5b204d504387e78de98458682,13,
0x2057cbf2332ab2697a52b8dbc85756535d577e32,13,
0x20a5014e9f7a462994c0cf5240fe10c7d1325af3,13,
0x966b092d572e51e16c65d134cbda7b267d643d02,13,
0xc1983926cab280597c4106cad0470ab121e3af7f,13,
0x82151488ff654e5055520e188bac08e6ab0af3f0,13,
0xb3efab33b75eab9b2e7f1c75795af2b04dcfdb5a,13,
0xd03cc4eddb22989f0cfd43c86a7b1960cdea784f,13,
0x4fc9e9094330ba64bdb4f8295e33809e63b5940a,13,
0x60c228cc3b53dc351101e7178d818869bc0b3947,13,
0x6e364a3d387fce7d2a35c199eddba51680fc7ba0,13,
0x816730b2762e10d581c4b20aaf515f3f60baaf64,12,
0x2630fafa340758e01fabe6a206d292601ef333dc,12,
0x994b2b32530c95cd4bdac0ec0e0b41b187385b94,12,
0x8813df11cf5ddc4cfb234ed7bf78b2cfa9a63ce5,12,
0xdcaf84e17bb0609a19350178018b27851a5a2563,12,
0xf63bdede8dd13d2b5942c654ca645b611441bd4c,12,
0xb7496e5d97f81924256152ad1ed22d8e91959343,12,
0x14ab7ae4fa2820be8bc32044fe5279b56ccbcc34,12,
0x44dda7c0915c2523d0ed7957785132e76b3483e4,12,
0x60676e210d3117ce849c858b1eba42cdaa8d8949,12,
0xf8fc319ea001c193f47275abf1c6626930ca80fa,12,
0x5deb58731024ef186239e0e4d1b8310a220f4f60,11,
0x13880e4a26ba665543da985ee04edf5f705557a2,11,
