HolderAddress,TokenAmount
0x0b7d6664c84b2530a995dfacd4475f759a295f16,21
0xe00a7ee3d4de8ff97a99e37466ed9821648dd3f3,21
0xf433bdbf45ae8396805f5882c9f395b246e62af8,21
0xda6ad74619e62503c4cbefbe02ae05c8f4314591,21
0x2ed8b9f312e7f746687c7545fe7e22adcc1709a6,21
0x17145a69a96819358f942f727ecf9cd20ea10935,21
0x6dd35fbd5adea4afc4ae09a43126a460aa273679,21
0xb3e4f19ecca0f0028f5b20d9a7187f981e191d9a,21
0x19d2245fec89d5e5eee9706dc7ec911b2241cbb6,20
0xfd0d8b38dff4dd5abf656b752fbe996e360cdc1e,20
0x1684427375f4b67a03b15721f9269d3a79217e96,19
0x8db375c6a485675af09764f83604ddb95db08a2b,19
0xf0b33ceafab33f5e00a86d74165e21e7b8a75fca,19
0x6478c54d7e93801950ef4970424d2e84bd1a7ea1,19
0x0e562273bcc78185a447e516288704edec6c5622,19
0x8d3f70206c4547f0844b9d2a6f3639634ee0bed3,18
0xba06df8755e8d19da8855a92c778507c162458a4,18
0x95fe3c0101b4348af50d3989810be0ccb0ddd81e,18
0x3e5ea631c54084e3b8470464511ac0ce05725ce3,18
0xc13a80fd29cddf5290d2e301b3121df0b73b4401,18
0x7bfe09ba46a974ded1334b8671b836f7f35ced5f,18
0xac59adacfc64339dd1be47f50d77389deb552cb2,18
0x1e4478dff7a83392ea03c0154a21a937df405230,18
0x79b723cc87142514a33c472e5802a26499dacfd5,17
0x5b85988f0032ee818f911ec969dd9c649caa0a14,17
0x2df3f91a9947b652d94040215846c2110343c399,17
0xb83daeabc2189d72bbf0e8a8a7dd77676e0051ef,17
0x147e468c3f1d1a94c40463c0fadaf2bd5994e1fd,17
0xd7393bcd3d9889e67d62fb8e91c52d49035f91b2,17
0x8572ff250455b085ab0aa303fd8481ac641e81e1,16
0x74a2acae9b92781cbb1cca3bc667c05313e14850,16
0x297419b983e64118129473c55cfa4184e3dad249,16
0xf978c535bd6f5f570c3a43d051d68ccbe26a3022,16
0x28ab42d3d52df261cb139370ce80015eeaf81b81,16
0x18d53087774623b7fa5da94b4f2a7a988372a22c,16
0x28e3e03240c4b7101c474bdbcab13c6bc42cc7eb,16
0xdd762af79fbbc73b51941fdd1fef8e89101eb51b,16
0xeb5d7b7cd71f27b16d9dfbd4fe16c59e3e670743,16
0x0e3c3b32c96dccd70404cae4e15eb3c974db8d99,16
0x8967d820cfe4cc24054270ab2f7c1f553e1bcb5c,16
0x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,15
0x7df2b505d5bdf08cca4742c12447ce465151e678,15
0xbbd815335ea8ddfa9bc1766cd06f64050d409b52,15
0x90c75b2ea55e82766cc33a7a648fa37b07bfbb1b,15
0x314754b51f9c068a8d4ab9807e2505cc9ec56bc1,15
0x84ee3dd0a4c448f845611ee28e7a0168623e5f87,15
0x8b8c5d0445e47d77b00675b21ee895defa7bfaa3,15
0x1eb7b04236b95943dcddfd2e96dbb1ba3b37f44c,15
0x3f0a6f58990782cf17a45fe74901ab0ff6b342a2,15
0x72d0455d25db9c36af5869bbf426312ba923c643,15
0xb91a23971cabce0db9dbde18f554e47f8ff6f9f3,15
0x7b7a7bb315464585c04726182eeadf7fecacf96f,15
0x5a0bc3d7b86fb8e19905941e8f0700d70355f311,15
0x025b96fac92837546a1cb77560c8627815a85d14,15
0x2bb68c26e75b01d2cbb9b1d71432fc53c4c80350,15
0xafa90635ed8ef93b9859bbdda68015204233f6b0,15
0x18defe7836c3f4886a869837596c477bf1ed538d,14
0xcbe2c22413bc89e11d9854e90104ee098eaee61e,14
0x27eb78c1eade6fc040d25b94e7acf6bbe0689f0a,14
0x997e404803f0c1b434eba87a03a6267566485ea3,14
0x9296f4abee772107cad2041a4112da4fc7a75fb6,14
0xda2dd7a292cc05b3f39fe37cda844603464985e5,14
0x4d3aadc777388c5d14b8debac21a9b8ea77624b6,14
0xdf4a200e713bd0a943e583a345e52ee3cc033d5e,14
0x783cd2a49c9d39e67304a4440aad05552b9fc5ba,13
0x346670eec09b5aeee3aa7117314d52cb07781960,13
0x1da6a4cf0a189fff6c3bfc383941a898baa2c503,13
0xd7efae6e8e0556ebb5e77a499a34fce6a4d8c722,13
0x73ae7a8d69eb84c4dbc717b933ee8a78b723c225,13
0x143271bb1489575c0146a7e8dbd1a6c116e8f619,13
0x447102e2c29795abb03c8692c994f65de154f7f9,13
0x061d3a3dd1da22fc3fca9004d71d82ff927933f1,13
0xd5c1e614a0093210f387b0e1860549c78824f226,13
0xddc86fbb738860c7d3e4b7130acaed8cd958711b,13
0x44a90a432d391532fb95267c243c7c5ce81deb3c,13
0xc75cc029efa8f4a02528828319526c79a39feeef,13
0x3c156fe5dac12cfccc41784522381606f641ae55,13
0x46d64afd43b9248d8fc7df7f587cc92a90bd4dc8,13
0x2b57edee7891121752ad882bb2a57e53ce55f4ae,13
0x20251a0505ead51fb2c6ce5c1f399924ea068322,12
0x4e8e17a0b34640225c073d4f980a25b857f6d406,12
0xacbb228856f194aa5f7001525211c22f097c75cc,12
0x6f69f79cea418024b9e0acfd18bd8de26f9bbe39,12
0x9ef3a795c09978892cdfc374bffe0d6212b20291,12
0xf98abe2ab88865dc422990e6b86ec0df6fe5d052,12
0x9e30a1e5e13a2e0f2ed775bbd420fb7cb31ebebe,12
0x323bd39ba914ea88228bd17bacf3c4d96102bc99,12
0x955ebb45951c3baf2d39c253cd9a828c21767a2e,12
0x18bd67edbcb6e1072c0ffdca2add8fec805246db,12
0x53d1afcb3a74e717c0b4a9bf2ad38b77a71f928d,12
0xf9f56b6dc4c297b0d942b0e03f7e67d6dd0ed7be,12
0xabea8ea391afeeccd9f4eac807595848c5bc7c57,12
0x4bdb1cffa8e8f45bb982fb3b8a6e9afa87f4ce03,12
0x5c118ffde79e6433ea5c293d5d5b40ecfad248fb,12
0x1c443c54c79d0db1ea795b97af3b493c2744abfa,12
0xe3ad8f93d406f43520efa9fcc92c7afd14b23f45,12
0xb3b9cc0a406f5dc8315c728b752a62cf1d8f0426,11
0x53fcee443133e74f16616c3ee9bdb44ecae26b07,11
0xebd9bb8bb470051339a7f13ab6842397b9cd6254,11
0x2e2476a246c01a905972f7f05d9560fc901e5512,11
0xdee87255fb9d768ac3ff0185792fc13ab8b8112b,11
0x43b78533e92bc690133ad65e7ce22ca2c8ccfffe,11
0x9147869ccea29c46f487caf13ea9436451935dc5,11
0xc0686412cde0884c8a5e782213a635142265e1cd,11
0x01016fb114d52c533fec9b16156609e6b04188cd,11
0x36991b237b1a2c2eafd94274f11e589d3c041c95,11
0xa41a4b84d74e085bd463386d55c3b6dde6aa2759,10
0x579d7b6d6aefb3ad424516ee3089a632e0ac42f8,10
0x644a808301b9d807633d10f076a7480adc8dff82,10
0xaf7031b4f2a1a52338fe6bd75409e38564838154,10
0x3b36cb2c6826349eec1f717417f47c06cb70b7ea,10
0x22a9f4ea3b0211f0b29e62b3a7f9a0488ddd1e72,10
0x06020f527c640692542d542a4d25fc104e8f46a5,10
0xbba17e3e501d91b9023ac4c1eed11002ba0cc08d,10
0xdc49b03f8c565494b3f5608b7b0edb322e0de476,10
0xbb30ec96c3d45076d73e977d0ad2badfdbe60ab0,10
0x7b764c69dfcd79e50bc75d722a4b30b2917d8075,10
0x08bc8766eb306e86457746519db9cfb3ca6aac32,10
0x038db6bde9581754039a3e87482bbf790d7053ca,10
0xa8deb26ca351a843eac39451adbd438e2eddf128,10
0x050c174ad31a20568b64d9752094d45df7da4e3f,10
0x9b00e24bb358fec9be49c52068971dc3e2315561,10
0x393c7432e569b3ab36e0c2bef85119ba8c0f8d33,10
0x2b045691fc01e9e49509ff9ec8d7924d812692f8,10
0x5023ad88cddfd255b273a938cd1618f9c6b6e01f,10
0xdcd41caee7b767bf6742bb4d20d3ad7aab942a42,10
0xf8059a21f9f082a043fa2ee138b757d73c689297,10
0xc43169184f312a8b07fe176429dc2b52c881b514,9
0x3844d476af45580f654aa9c317376ae4754d63db,9
0xcadb44cd5c22908896676b9b4cba0117a138abc7,9
0xd4c4015775c99d20f0baa118d738ae0e01f58234,9
0xeefbc827847d018d79095216674112eda4be2ec2,9
0x6928693227f6a31c3b1f9e2b7fa5f1cca979d69b,9
0xd293d6d3b788065be654b0ef28f5f4aeeb7202f5,9
0x1151ac6ab78519ed034d671820c78e7ba98e846e,9
0x3993b5c2ed521529674f485f0191d50f8576b0da,9
0xc3e18bef1b7a1c83f90216635d0203a29d1eb7b5,9
0x3b0b262b187001522c34edcafc378500133ab230,9
0x0bc9096def9dee054203ecd4d4b382b14163249e,9
0x78cea29aca1d3de197ef761ff0169beac6877124,9
0x2f15760031306b4ce6c089a8bc205886cd43726c,9
0x6f7aa46c31e9395677bb59ae7f984d9309a969fc,9
0x8e246c8c37c82d3f89726773e58b43baa8614214,9
0x4c02d98cf763d6a73ffefa6496c8c109c3ee1992,9
0x4042857bbd069ef964d8319c5859ac566fc6e9e4,9
0x21b2923d6689c8eb7a3d2592cc5ed380e2875aa6,9
0x0f692f4a862679008bbf48cc0a7abdff12908f79,9
0xc29a9fc1f1b0a550340f17ddaa04a4e042a2a3cc,9
0x5b300324d88a766d8ed209800f28a12fd66083c0,9
0x7f1a61ccc4cce394294cdfb2df1360f2d40f2548,9
0xc250af2aebc34c431f3846a872088e59b5906eef,9
0x8e1d3b2ef77230e018e4c3b4be2d08fad505632a,9
0x1fff3ca76b10156cad152f60ce2791469e91cc29,9
0xfca399b892f4e8306fc31b312a3399f422976886,9
0xe98843c12b414fa6d5cf8ebad9a885eee87ed6af,9
0x1d61f4c16894fea4300f1b8f7a395d873346efd0,9
0xa5bac7c1f14bd7b06ab0177e11ea8a549e79751a,9
0xbb67e3aa406dde048ac971b812abd42713fe06c3,9
0xbf6619794a5e1ef1ed01a4ff7eb619e76d62c7a4,9
0x6f859b3bc892de3ac2762d26dc03ec6ffcfa40a4,9
0xf9cdf0c0d60a1afe5731f8d959a32b5c8d7c88c5,9
0xb5c08a347a3d51971d7459e0974df2b717628651,9
0xe84b20bfcfa79c77a81638c0cdc344f551d38e24,9
0x60acf8d95fd365122e56f414b2c13d9dc7742ad7,8
0x6615b227c9c6347e29ef69af79a83974f659ae9b,8
0xf2fae450695c75291647f67ac3a4d3b5d168903d,8
0x0dd273b85e5578c488559107ac98a1ab98f208aa,8
0xe3901d0a64973a4f9e163a9fe8448dcdc98ba8e9,8
0x136883b2841d7de5c13ecee65788fde191da5f20,8
0x5b1a00402c6aabc799aa30d009fb26ec7980ba0a,8
0xcfc65ebdcd6b90b9036913971f963e8d9d83f37b,8
0x4af9745f06875f3cc4327f2989baa0fe43ea99fa,8
0xf23576ebf815077d9f21dac0f1c8bdf5e9854795,8
0x617d924a7600c0ef6e741e4adb97a26d03bdd534,8
0xfd4c89c2c840b4eb9b87ac37975955195b1224ff,8
0xd3c7bcb6f657ae356efc8a7b69134d71206cabf9,8
0xbdb3d2d8e1f390a1070210e612ef5082cd2bce27,8
0x0dce3a4bd03e9676b1e00dc1d1f103ed9c39178c,8
0xc638d6e358646ac9edbb36074b0cadfe8b7d6518,8
0x24f01da12667d5679bc2f4df44c919396ed152f2,8
0x21182c428147a78fee3eadecb59e508ad4f71988,8
0xcf16b319049a035fd988322909d76e75bee8eb1c,8
0xd4a14393416a321b74168e259a9592982c88ae72,8
0xefa7dd48c2c141cc5044090b87f099986bc02f55,8
0x388445266e5d3c029e2ddcf18c803124efbf79b8,8
0x5babaf7a43bda23e6cac6738b9d588beeabb28f0,8
0x824b839f2a03346c3062a4d3ead9e87ba3a93f68,8
0xefd97f824a0b4658e31ecbfdd9b4d5d78c7a84f2,8
0xa6cbedf76ff4075806b8e15cc2d8641ffe079464,8
0x4676b78d1ef20149d45bfc7ef3fe4f127c184be6,8
0xd6f6fe4d2d1984c0738699ea73ce7eef9b18bfa2,8
0x61cf07ffd09ace43a38adcb4b99d97a2fd6cc772,8
0x7b15e6c439b27a553b65a9904ce571da6691a0fb,8
0x44d4297b0acc5711df494e8ec3164e0a2ce47769,8
0xe7b3487dd1e1dca0feeb1e592b7065e0a90f0734,8
0x57dae169fd0b09b5470ec61c0e8dd9ca733551db,8
0x4d72d4269ab46962713ca19cab8161a87684a163,8
0xe3d92a740f0478407b3da06ed38cb052cf2bcd4e,8
0x36ca8471d9ca3656304255216e1b2f1a9280f1f4,8
0xb72aab309dd644c2362df76d63ec568df23996b5,8
0x1d33584acd677ee90dc0d365a4a4c4f09533f75b,8
0xaaa9da267f352865e1d29b6773d21864e07e049e,8
0xafc3088cbed724363b731793183a9f5d4a494aed,7
0x4a8ebe5f4987ac27cf9483c753e80c4b7e5276bc,7
0x9a837c9233bb02b44f60bf99bc14bbf6223069b8,7
0x028fe2ff94af8f9e7a0ef0cadc719c155a530ccb,7
0x0980490630587e0cc131a6dce96b2bcbd4286395,7
0x917d6eba229425bb917ecffbd821df6b199d9591,7
0x41f6d8e7a5fdfc397f59b6922cd9e20ee86d0626,7
0x113654a07c0e59a2417f82513fe719a747d57982,7
0xf1f57b31a953f8e481c5c8f52fe38600268dba14,7
0xa394e5a73117a50edcb7c6440d44638cf854b92c,7
0x413ab8a3f694278d81fa9af5e904aede80894d85,7
0x1177089c08fad3d2d3d5c88e03e3a9813f703ab7,7
0xe0e573ea9146904bfebb705b5ce79b1ebf1a551e,7
