Addr,Amount,Points,Coins
B8Vuav1tHCe8tS33rGkf7VJEmWTg4DyppbmNg6xK7yiM,34,4,6704.980843
6vWqepbRFdL79qwkPjs6V6RzHB1JW7S5F4AJr8hsLLFk,32,4,6704.980843
3wT8tbkGXGZyk7wmCwmXUQLerjHD6yDtnkPCUAkDpvhC,32,4,6704.980843
ABGLAB5UQ4oeyVH61RkFkxP9R5LY3iDQFBrDSiP86Tzc,31,4,6704.980843
GAdN4stJMWM843WxvADkWgXjM7Bc9xYxqaruLyViv8ne,31,4,6704.980843
A1vFPmFspoSmXgUy2dEdxvAZDLf2MjnKtTASa4a2CxoV,30,4,6704.980843
TGPDuarmJ1R6mB1EWxSmu5uHkPeqaqBy319K3WosyW9,29,4,6704.980843
3fiTj9Y9pSAgSwkoXDXWkVXdhaFnCaDRZANDeTDDKem8,29,4,6704.980843
5cUG9zagDetsvM4oqBGKhABRaNoRDoQSLs8AyXm2Hrm3,28,4,6704.980843
2vMbPgHrSso5BnXxkQ9wAHg4WE7BL8QMT4U8Dn4C3jvg,28,4,6704.980843
DMduoc2EYmBd4gMwjLCoQhQYNkM2riM1uF4FK38R8H9k,28,4,6704.980843
CYtVNgrg3cHi18FnLb1RhtEGcs2i1D2bPG7gLYNUknSC,26,4,6704.980843
4k52Qx5vN6Bb4YTtR1jUpygrxKWx2NvT4CKKnxHxfEML,26,4,6704.980843
2X7qjY7uYdtnniKWpmnwGzTWCSvgYwmpFrszopFpf5ZK,25,4,6704.980843
Fj6NJzHofwfYJ1DEZ4WupMfRe79g7jTCRcKY3zocSvoe,25,4,6704.980843
2cuRwBX7QTfNB5553hLT9VS25Tpa547XCWY14BShG35v,24,4,6704.980843
BGoYsU5cSXyDuEd6Gq6gnKEKHQmr745nD5GDCLxTmBML,24,4,6704.980843
3GHmy5h5KF2JSQvses8VZX79UFxepfhGz4Rm5uhCToSH,24,4,6704.980843
444odxXJyzR48iwYJuJeuNGha3PJSrRWS4sajjeire5H,22,4,6704.980843
GBJbNF6fmYChQhTbhRZke8eM3DVhL6JSZYpKBT7NDzEe,22,4,6704.980843
6x9Y3rqABpo7bRHWPhvgqNHBXUsR4t16HuYwGtWXHNvB,22,4,6704.980843
FAxy8bgDk5fpBDVspyJW1c1LpCAdxPc9dxxfyoftHkrj,21,4,6704.980843
EfcUax58mfAwk8hEpdgYZbCMEhyHhKX6Qy7vzcvEbfqV,21,4,6704.980843
2QUSBD5LmpQp94GPjynQ5khyKb5jGtLT7hBvVyVgCM86,21,4,6704.980843
CsKZ7fhyu2ESPbUWBezwBpyfxYZbQgoP3PohTKSPk7SU,21,4,6704.980843
86TPtiyuHz5bPusqT6qG58Dj6e1X9AYuitZjTaXtRAdy,21,4,6704.980843
Fe5xkXbvbHHs1XE141Bu56ENcN4WnWt5sq3FRuMY7EFt,20,4,6704.980843
9B1o4EXNac3nXmNLgicsSZtf8jwzUVeRCi4RUxBuCehC,20,4,6704.980843
DZXBgw9Siy7eF1aZD75sjuHEhsLxtPD5BGTr8ujCbnxa,20,4,6704.980843
EuuN1sKvasCnsEm23iKBxFQFLgt3LeyVidiVcMnSoqcd,20,4,6704.980843
AtM16WxSX8tnUdNBmTMGB6g9tvdvmuufz4trNnf7K76z,19,3,5028.735632
BFSLAYAzXrVs4kX3Lyk17EVw9afg3kVx17AyWTNHPrgT,19,3,5028.735632
DKMZpd8UivUKkAfNdPSieqprc14SHfftHunMTGD3ngTe,19,3,5028.735632
GKWJXvuFcZaWXmARtUegKbwQAkJ5rrtHfXa7vcxLzdQJ,18,3,5028.735632
4UqgZF8t6wYvveye5wFDP3VPYEGv4rUYS334jRE5HDYE,18,3,5028.735632
D2awt5GkHM8srUuGizNfLhbZaG3VR6NBbE5QGX5DKGB4,18,3,5028.735632
27XrWo6pacmMiv1oRohS7hz2uN7aJpR2myeaVrY5Jbur,18,3,5028.735632
5URAzdRen35oNBUd6BKAyjdadwhAgFDxyx5NkHNm4Tsj,17,3,5028.735632
7PZJEWZ5b3g5NQ8VKEK2oMoHD6CmCj57piFq9HYaWkEE,17,3,5028.735632
47zQUX5vGaHKzHSmzsTEsQnjDbYS7pRCQL6QHYwR4fs7,17,3,5028.735632
ATc4ufi1Fg8Z7TMxNuXPxEmdsn6Fv9xo46fmH2WTMgGA,17,3,5028.735632
TwXSup66FoMGQpsDcB2TVBZmgXAA6cYGoLKMQXAxAc1,17,3,5028.735632
9QMxLotipTVSHkNFdi1Z6va6PhB2VLC5r2sSeAWGbCEc,16,3,5028.735632
CNPLd5BT3o8UVRH8AxRML8cTpHgJ5V5vMryoZYKzL2us,16,3,5028.735632
Agtkf1ZL2Sa25ZcksYTk4HvXjSVjfmSm7p5CvKJYQAtr,16,3,5028.735632
GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,16,3,5028.735632
B9cMjZPLnJyMWoHNFnutfTqsygABJfve12yrf7WneHqz,15,3,5028.735632
9TdEtjkMN4gXn2bY8rmqLcjbYHBoJ1bDJoCSpvsRnVWH,15,3,5028.735632
21FYUV745EUGe52YJt2CfawsctCkA8UpoPwWmWaAR1WW,15,3,5028.735632
Hy6UsYB6BMDmyMw6kFh44QWwM4LgLLvgurHAKb5rjjed,15,3,5028.735632
41rEGMrV7Eiy55akGzLEcMsuEFiPt4fhTo4AUCQJuHay,15,3,5028.735632
DJqBpEZrZBnbTwSCxuRwsb91fpG534WmFeDJZyag4d53,14,3,5028.735632
4WtbRxxjc8sKvzrMWoHBKsEdizDVzYZDAKNAVWiv4HAg,14,3,5028.735632
9tecdrpZssxKuTYajjUtqor5q7SJoDozeHecfYZZcwUK,14,3,5028.735632
21TdkbZMS9uguW7FPirPWqrbKmzMmvpM9AKkADc5K1Da,14,3,5028.735632
2cpwhd884FqArhmJoVy54ptZev6ak3uyFZGivX1stEzm,14,3,5028.735632
5nsavEMHFHXHkxmZBzHkP4dX3FB3K7jhkqMPYPKCs9eV,14,3,5028.735632
6asMmzbUNCKP23xQNBuVwH1kmCN57Jip1pBRvToo19dK,13,3,5028.735632
47rESDoxvvAve8iyJPPX5NcE8451PNfTLB2fngfKdbxq,13,3,5028.735632
HcQFRMX76VmDBtpbRBUmBuWFpwZJko6EKZcgu8ZzJN3L,13,3,5028.735632
Emn9ieNG4zhxF9EDDBrUxE5rWfw2NFihCynMYSE1fdg9,13,3,5028.735632
BYgzCx8FpeW9i8k7RHYa5Wsb6aRWPVTU8sGyLF4hV7u3,13,3,5028.735632
6xiCbndjQwrM597DbpdDrceAb1KkU9fDfPQj6sWa77Pc,12,3,5028.735632
GBGndMCztzPcXEjhBqeS5SfT4vF9gm8yyecRBxxqBFeB,12,3,5028.735632
9a2oQDKPXtVLguV475Nko6s7dG8KuSuphTYrdpVk5xae,12,3,5028.735632
GrULFesgvmEnN2tszE1ZUMahgrWSvCn94ZbGoaR32Xzr,12,3,5028.735632
5uXfWXKgwdzzWMGXF6Pwmuz2Yy9drtkCCV8ywjLyEijL,12,3,5028.735632
Dhe1CVjXj4uf1dMNkNKpwi9qetsL4HvubFxhKCeyUG58,12,3,5028.735632
BFueewMjQFs2kK4MjwnnQUnNA4C6zFeVzCmR6YsTpjPG,12,3,5028.735632
8YipBFpgGmDN94jhESeRbiwajPjA21kJ6VZnJoehoeXi,12,3,5028.735632
EdEpT4YRbzoACZDrUAf2evShaZMT3CfAoNoXAzFCiumc,12,3,5028.735632
7CfKCLC9kJfMDPh1g6gBjfLQJyPepFLSqZUJTAjBChtA,11,3,5028.735632
mybzTFgUafinQxGrWxV3Hb8kvA2XcVaCgbsghhbcTcx,11,3,5028.735632
HwMidRXg83Vh5ZUVmJy5cxKak1DojQ9gZYDi19au4yc6,11,3,5028.735632
F67byQpnvWCBj6oKQCG6NnEBAFpCNBnH1pfXDSrqskKV,11,3,5028.735632
C1bb62mFGzNQyS8muAeUrgjGpQjxEv5TQ81iG2s2kKWH,11,3,5028.735632
GTpkVaMKFf3jgZJA4JZwNxY925gxwJX9CsGhUQXscQEu,11,3,5028.735632
9jBd44MP3AnuL8Bpmxq8jTL542HKtAPRaAgseKT3CiPL,11,3,5028.735632
4VMRHBgRcmSJyuNsgmsqbuwmytYJL5G1YqQpjEwjQivc,11,3,5028.735632
CZXkxX5MBSvbk5nKBko9PL5r4A5AmhPKgbGz38CvHfQf,11,3,5028.735632
F9Lvf1bY9VbgvbY8BTFf3p8C4GB2EPkRFQSVwqKRVpEd,11,3,5028.735632
8medCxhz8aK8oY7yLRSfVNmzidtUYD5y3c1o6h96GoqB,11,3,5028.735632
Krd7JsbFBcTG2ojMgCRutJGJFxboo3DPAGBNYuVUa8b,11,3,5028.735632
7qCvM6dCLUybph9F2RD5t76LSNXHRRzr1UmVoZWbSaJX,10,3,5028.735632
CoFjjrXyT5Jjmg4ZajhmHXaykcSgJ1Q15K4HY4jMpnbn,10,3,5028.735632
HuzfPX98aFCcMqsRtgiiEJsvVmwUM8xLyErpJgzf9yE6,10,3,5028.735632
3d5nnMvMjt3RUTtyJ9Qpjc6dw8KQTNnkEP7Zkknaqa7W,10,3,5028.735632
