String,Count
4WtbRxxjc8sKvzrMWoHBKsEdizDVzYZDAKNAVWiv4HAg,14
9tecdrpZssxKuTYajjUtqor5q7SJoDozeHecfYZZcwUK,14
21TdkbZMS9uguW7FPirPWqrbKmzMmvpM9AKkADc5K1Da,14
2cpwhd884FqArhmJoVy54ptZev6ak3uyFZGivX1stEzm,14
5nsavEMHFHXHkxmZBzHkP4dX3FB3K7jhkqMPYPKCs9eV,14
6asMmzbUNCKP23xQNBuVwH1kmCN57Jip1pBRvToo19dK,13
47rESDoxvvAve8iyJPPX5NcE8451PNfTLB2fngfKdbxq,13
HcQFRMX76VmDBtpbRBUmBuWFpwZJko6EKZcgu8ZzJN3L,13
Emn9ieNG4zhxF9EDDBrUxE5rWfw2NFihCynMYSE1fdg9,13
BYgzCx8FpeW9i8k7RHYa5Wsb6aRWPVTU8sGyLF4hV7u3,13
6xiCbndjQwrM597DbpdDrceAb1KkU9fDfPQj6sWa77Pc,12
GBGndMCztzPcXEjhBqeS5SfT4vF9gm8yyecRBxxqBFeB,12
9a2oQDKPXtVLguV475Nko6s7dG8KuSuphTYrdpVk5xae,12
GrULFesgvmEnN2tszE1ZUMahgrWSvCn94ZbGoaR32Xzr,12
5uXfWXKgwdzzWMGXF6Pwmuz2Yy9drtkCCV8ywjLyEijL,12
Dhe1CVjXj4uf1dMNkNKpwi9qetsL4HvubFxhKCeyUG58,12
BFueewMjQFs2kK4MjwnnQUnNA4C6zFeVzCmR6YsTpjPG,12
8YipBFpgGmDN94jhESeRbiwajPjA21kJ6VZnJoehoeXi,12
EdEpT4YRbzoACZDrUAf2evShaZMT3CfAoNoXAzFCiumc,12
7CfKCLC9kJfMDPh1g6gBjfLQJyPepFLSqZUJTAjBChtA,11
mybzTFgUafinQxGrWxV3Hb8kvA2XcVaCgbsghhbcTcx,11
HwMidRXg83Vh5ZUVmJy5cxKak1DojQ9gZYDi19au4yc6,11
F67byQpnvWCBj6oKQCG6NnEBAFpCNBnH1pfXDSrqskKV,11
C1bb62mFGzNQyS8muAeUrgjGpQjxEv5TQ81iG2s2kKWH,11
GTpkVaMKFf3jgZJA4JZwNxY925gxwJX9CsGhUQXscQEu,11
9jBd44MP3AnuL8Bpmxq8jTL542HKtAPRaAgseKT3CiPL,11
4VMRHBgRcmSJyuNsgmsqbuwmytYJL5G1YqQpjEwjQivc,11
CZXkxX5MBSvbk5nKBko9PL5r4A5AmhPKgbGz38CvHfQf,11
F9Lvf1bY9VbgvbY8BTFf3p8C4GB2EPkRFQSVwqKRVpEd,11
8medCxhz8aK8oY7yLRSfVNmzidtUYD5y3c1o6h96GoqB,11
Krd7JsbFBcTG2ojMgCRutJGJFxboo3DPAGBNYuVUa8b,11
7qCvM6dCLUybph9F2RD5t76LSNXHRRzr1UmVoZWbSaJX,10
CoFjjrXyT5Jjmg4ZajhmHXaykcSgJ1Q15K4HY4jMpnbn,10
HuzfPX98aFCcMqsRtgiiEJsvVmwUM8xLyErpJgzf9yE6,10
3d5nnMvMjt3RUTtyJ9Qpjc6dw8KQTNnkEP7Zkknaqa7W,10
999AbxgQ1PevUbfZhmsAWWHgG4WsiRAtSu6Tn19rutv7,10
2v1Lfirrc9br2tFeBZaWeKpYhHpB74LtnvvEaUysLjrZ,10
8QvXMUU494K7AwRLtwNh6twRy6WYXmrgSrNZbYhdMnPU,10
4vSqvznfQckMKeG2R6vCAvuDV5PmHvLvnR8MeuurujrJ,10
FQSa9iFseGEg9xJgRubCGPL2LZKaHhRvXJEBDTcx9aV3,10
2t622e3ghMYUFGXzrgeiEhL4XW39zX4rSZJoZeB46cFT,10
H5VYRyWNgaGEwAKXmya2J9fUa3Ai6zhNAUTh5rzUm1o,10
G3mxSvzEdjxAeHdjY9S8Qk2V5hF9MJ3nj2jPHyDy3hzP,10
9nKU5NtV3JpLL3oSzriwZ9bXquKaUDS75pfpLmBKS4Q1,10
9bGgUYczJsvoqXopsgEEcrMWsZygACnZtDxXLb31YcEL,10
3WtcuP3gLmhnpR3r1GGQ7pg3hE2KybjrjEchfcfxayC3,10
B75EkcfVNtj7VraWKxazcr8xRsjkXTZFidAuPh6kwc5o,10
CQYjfkCmmj7HdNUbt1cAd51eSzUCcosyFGEFFxaH9Fhx,10
GQ4PQEKKTQQEwbQ4i4r6YopbP2X6GPWwuyGWZm2n3C5j,10
67JgSAJS4u7TzKhUunmbGwvPHK4BcDwv73BS2Am28Yvj,10
3hgbmDNZc3Hh11k5cx9xqcRtvRhMCLgWrrN6KrGTG6Eb,10
apexnLm9dqh6oRLJnR4L8H8yaanQLzw4kZf9A3ZyJJo,10
3ocZkDa8x7wFbcwjRfCFgCVQafhE5STSqZRKWF7oAW2v,10
2rktGcxfybJkRQDuMZFnk7dWohb3GpebzYffygedbY47,10
2UyHw9vVsCUQtwkPwDUEB9hp3zwiDKv4b2u1u9GRVeUB,10
52KzSVpYKpeviDFSQGTn8vDQzxf8pRHornYMoi7hKqvs,9
5chhHMDtKJSMufZGynWLFamNLvuH1zLsdYkfbwADURNJ,9
GdDcnyyP92Q7pYp5BJHRNQTrfqrcqAaxN2sKNfEGrkWV,9
8zQ9kEL6oVZmoXM5C2gW7vgz8qmG47N7Em2Y8ARf4ZeJ,9
HFyLZPi4Y6c3SAwCXptzsU19vQek8ojizdDvDsEuy526,9
2uhDFgUM6in3wscEPDh1VcqUxn4mVpicYma8sWosWptS,9
E3yssku228WBd6PyJFWmtuqM2NuitTcDNBLjYTggsdux,9
5wCaXtPRt2HudC37RF5UM3K1iXaMirV7EXYdUPunnq2j,9
9nzXbTcjUZiQi5iWKFEBRFdCQLoWHvFZqEsoDN8aurCn,9
3GmxbdM98scB58L5ftmwZs9jiMpJg67KmUjMTTxKxx4m,9
4RTgxY1PXX3XFnWDZEpN6iWdmTorifk5BFKKaG2zryJe,9
Dg9cTGxuWbKaNxRnLYywMiRvfxBsDcDfGEikhiZX6Kre,9
CA4jJw73eFxcfnPfYSURLdTj1nbotKEFRY2NgE9P5HPR,9
FHrvFurq8xUqCoMKrGZfpyDtusNYWRzH4thb2Mvvxim,9
FETUqB1if4Q8TN25GZksuw3vYrTyJk3deibKUR7VzXA8,9
32kRoQXxpFpuXo3VPz2rQKFHJKbtGMFmspuUkeQbVHNh,9
5o4x9HNsXUdaigZTi8RPkgoEj755S79FPDdvkDnq8gg6,9
HtXuYvqtJbuwhD9shZEJo9KbdjJzAmRNpVKTyHdpRPiT,9
7ALqfWWLmNgiBASJzdoSY3z5K5AWURYTyfXmztWpr3yL,9
DW7ao32GiQxnqqsqawLZcwE9YME8XmnTT8gx3og7ZLYZ,9
FPcBd2wAhcyiKPVDYAuyHHNyZwoS5pJP9ocwUESxruMy,9
jccEoR8EZfkPsN7LqD2kEhq5vEXnbHxbB9UjGQVYDXk,8
54kvFfjKv8aGtAUB34qkPd3Tm6VtpvcNTT6VEk6Xxao6,8
hh1ndnz8yRNPuGVvMToarHG4wUcTQoYMkBdyWGmMYiG,8
GDe9veLZgnSZzb2aryCqVrJgbpjPNp6xaV7o5fDDF3QF,8
8MevhUtJ5j4ueNiY4r9gkMtkaLyeT4HzGQwUoT9W1d52,8
F1xCjZMo6F7DcBMayM2bw4NsQRfM8mUREAM73f1JYWEg,8
8f9gKiBrYCCTqkhsurTa9fSAuB4KC8Q3Zp51wcfjC22A,8
5GiNb4UyFgB4ZbQtS1FG45zAsj7F6Zuej62errm8ueXA,8
87YUsMUGFqbugiU5QU7mavfnSoMtZQLxZWJi8tPCxUD,8
D6LpEgQJCV6ZU4yUFSJBHQ27JafABfhNQmTJ8ixn9MYf,8
WN3bN2vHHthDEXBMpZWD8eHEeHygLbnCXMD9eX8u8mP,8
EH3BvwhzA9tatT8nYS9x53m1e48Snjm5WHgnuiAEgCFK,8
CXTJhj2pvNJEBMrKoYTisv3r1SCqqqkGsUegHDMJ2hr6,8
HNg1qMN5kATvoQSjiD5mXk4WELV4vjnXZ13YqW24MzPC,8
GKdgX3ZjtUT7jkv2uj2Xbvp8oyNdNBDvApYeZN63Dap3,8
A9dPEdiMfgdn1tG7n3YBVYvjsRyXTocaMamAphyZFob3,8
EFLAFzCWVpKfYCDy8FnCkJFzB3D1gn2xcbPoSccZgSDh,8
HJbXTzASfZ4Zcpa7NsDaCsKcEZfqK8HBpVr6foo3rjuW,8
C4fbP1RRsWTWYGShw1A9g41trYGDqcSaws38cEgCmUKG,8
