addr,amount,class,reason,community
0xad762f78a8df6c179253c2ae8fae392718f4d362,2043.91,dead,contract,chronic-token
0xed25e92a685b2ba14c3a6914e0ef3a9595bbbfd4,1940.13,dead,never-sent,chronic-token
0x8e5194225ffb187a7fa778cc2a369ffa40459518,1940.00,dead,never-sent,chronic-token
0x9a69e7a31d28e42df1b9d658b2cb7af92e0a5446,1794.57,dead,never-sent,chronic-token
0xffdd73db0e430bdfb832016fd5066b2420ce84a0,1507.34,dead,contract,chronic-token
0xbdacf41323ed9fdb3af902ad2d9e38c20f002360,1492.80,dead,never-sent,chronic-token
0xd6f0bb3c74188b1cede14c916ffb5836fe43bf67,1473.72,dead,never-sent,chronic-token
0xe8053088ded2c8d4e4a6b005b40b7b038e47df26,1423.39,dead,never-sent,chronic-token
0xf920602a12001afc30ecfce1f95ca866e7115838,451.70,dead,never-sent,chronic-token
0x41de441ef7835174b9b448a354a33e33d76edbba,341.71,dead,contract,chronic-token
0x871b50b87ab9ea2e24d945bb545e5edae446c705,278.53,dead,never-sent,chronic-token
0xba070aa21165336868c63451e28573ea70c74688,246.24,dead,contract,chronic-token
0x00000000500e2fece27a7600435d0c48d64e0c00,145.82,dead,contract,chronic-token
