addr,amount,class,reason,community
0xa9382e09eebbe26a9be9e96b30c827f593104b13,2,dead,contract,monster-buds
0xcf135f02ff1b63090c23d1ae4c46b216185f9d55,2,dead,contract,monster-buds
0xaa1d1ad81c6fade6ad06f6e939d76b1cf342b3da,2,dead,contract,monster-buds
0x90721a8e13cc9352971d5841bee6e3c03108ffb5,2,dead,contract,monster-buds
0xaf6189601af06a5d9721111481d32cd900f6bf29,2,dead,contract,monster-buds
0x9ce2334e8b1dcccb40bcd0e353270cc444169976,2,dead,contract,monster-buds
0x7b4d92ba4e14bae7a5e2c92117ed86e40c0dfaad,2,dead,contract,monster-buds
0x0a804e0e28a921273d1348512c6a40aee1e5236d,2,dead,contract,monster-buds
0xab6242afa2407074d4b8c9e38a78af7fc9be4497,2,dead,never-sent,monster-buds
0x2d368d6a84b791d634e6f9f81908d884849fd43d,2,dead,contract,monster-buds
0x3698fbd3587bc22e1d17560f02286e824271ed78,2,dead,contract,monster-buds
0x05ee3c534b3c640889148539568847b034424be8,2,dead,contract,monster-buds
0xd2ef3068f7a746dc89a3232891ef1a0c699e2e18,2,dead,never-sent,monster-buds
0xa38ec37d589bb6875e925cdd011687d0ac3f5a15,2,dead,never-sent,monster-buds
0xeb29553cbd7c5265a1de07797190fd5cf0516463,2,dead,never-sent,monster-buds
0x721dc4a27fb7210665d26b3b4a046109b43dab3c,2,dead,never-sent,monster-buds
0xffeff3c7efce832d1e1727192bc1dd7d7206a776,2,dead,never-sent,monster-buds
0x1abd48fdab70a56a2bcf8c4b583267be3c5abdce,2,dead,never-sent,monster-buds
0x82b36780912558f8201b706bff1d5d447ed8679f,2,dead,never-sent,monster-buds
0x1a59dbab673a579fb8d29472c80c931768f95de5,2,dead,never-sent,monster-buds
0x96d33651aa2ed19f923cd2e2d25fe4ecbc397d26,2,dead,never-sent,monster-buds
0xf8541d706b1a2ac3d0ff25c9aabebf2599ec1b9a,2,dead,never-sent,monster-buds
0xa6dd144e8087a99fc237cc2343619d07f4fcdf14,1,dead,contract,monster-buds
0xac3f4f024d7ccc4a40cf174f3641178eacffd114,1,dead,contract,monster-buds
0xfb18421fcfeaed1b972cdc6aeb2a4d3a890aa1ef,1,dead,contract,monster-buds
0x2aac053fed79bb499976b6752d74054a131e97b7,1,dead,contract,monster-buds
0x52e14e8dfc87e8875ce5e9a94019f497b82b3e01,1,dead,contract,monster-buds
0x7675291453daf025cef152bef7296d4ef9d72514,1,dead,contract,monster-buds
0xdbefee517025559e7898d3a48f18221c32d3fcf5,1,dead,contract,monster-buds
0xc875ec84448bb026aab70ce52d28b3091eb65e82,1,dead,contract,monster-buds
0x84b12ad49c04b839bde7a053bf0ed65b21d65941,1,dead,never-sent,monster-buds
0x83d14f36b0f5f14f5287ea727b819fa92a9b2986,1,dead,contract,monster-buds
0xf017c7629f3d8a1fdf8f7d03b5e1773e68d4728b,1,dead,contract,monster-buds
0xd4a08cf067c83d1b2cc1d26831569b7850804be7,1,dead,contract,monster-buds
0x1752ab586afdfe141478206ae944eb9146352440,1,dead,contract,monster-buds
0xf9be8af9f649113a10529526e4c4dbe0f1f90289,1,dead,contract,monster-buds
0x5a6e40b29bf20e4f60e7becb571af5ad5796a3c4,1,dead,contract,monster-buds
0x6996b45792afe0b9449e74f719e8fcd9d2e4a78f,1,dead,contract,monster-buds
0x6ef5011856fb7a0d837340afc30522459a389942,1,dead,contract,monster-buds
0x693b7c6bced40c1bea99a4737870d6384b2315d4,1,dead,contract,monster-buds
0x6238359a55694f9bc696596b86cee0ec9edca0ba,1,dead,contract,monster-buds
0x84097dfb406acca23ee3b0bab7cf89ff5c77e86c,1,dead,contract,monster-buds
0xb5de4990aa979b698dbf363a413d67a3704ac59a,1,dead,contract,monster-buds
0x90bb9480053f38946c6f1a2508abba2756544c45,1,dead,contract,monster-buds
0x12879d3901801ca8a31d9aa1555a966116b9e478,1,dead,contract,monster-buds
0x3aef8c8c3bcfb75708a69aa9219917030e302cce,1,dead,contract,monster-buds
0xb96950ff49021b4e1c6b4db4ac76da89d72d537b,1,dead,contract,monster-buds
0x880ceded76172478d1de02d90a99a1804ce73ea5,1,dead,contract,monster-buds
0x96caba82e45487f4910bfe6f77d754e5a13811aa,1,dead,contract,monster-buds
0x1d309f17ae5645e189268ff739daf8ff68ebd312,1,dead,contract,monster-buds
0x879158635ad4aa68398692d382e57c9906767467,1,dead,contract,monster-buds
0x0710ee20cb035b50f6aedf58bf37b8dbd842f1ed,1,dead,contract,monster-buds
0xa53e72eed7daf63f920e510b3d43339f5433413a,1,dead,contract,monster-buds
0x2e0d74578149d44d999d74d3f33eda713e2d1840,1,dead,contract,monster-buds
0x272ce9cf8f219a35501985bff7662a591a5d701e,1,dead,contract,monster-buds
0x431890fa0849cde8c9d38637072f71784d7ad07d,1,dead,contract,monster-buds
0x131d366fb820032ace0e5ad3309b8ca7785b3a93,1,dead,contract,monster-buds
0x4da49609134ff4d4d89767a039a6277bc2d5ad54,1,dead,contract,monster-buds
0x6a02085e2430780c07ff8c45c1b56dfe2352f9b1,1,dead,contract,monster-buds
0x3fa78f41554398ea8fb78c206dd1b0f4920f3253,1,dead,contract,monster-buds
0xe039881b8ae12b32825f3d081677ec9e07287fb2,1,dead,contract,monster-buds
0x726ee17e22b5a4bf445d32344cef1d48c84a20cd,1,dead,contract,monster-buds
0x1ceea59fe1820085c12d4e0c243e587d808b3b90,1,dead,never-sent,monster-buds
0xd7756091cb3c013cea475473b2e00b080b692dbf,1,dead,contract,monster-buds
0x6256f92302aebb983d7178b48c703a18fde6cc4c,1,dead,contract,monster-buds
0xc1a8d2de4f4b72b728d007fe06004de1762b974d,1,dead,contract,monster-buds
0x63d90997a6fecd302a0630f1e1389c7144136f6c,1,dead,contract,monster-buds
0x7e6c790dbfde36a8ba48927366b095e014720f21,1,dead,contract,monster-buds
0x392d4722c6142471b33da3c1bcaf6dcbc5d1039d,1,dead,contract,monster-buds
0x02c07322bfd5dbc6aa58dd1ea55eb9bbfffdd11b,1,dead,contract,monster-buds
0x4377e83edb9bb6905795802cca6845d72c237b36,1,dead,contract,monster-buds
0xba86ef371a71ea22231cb6a892ce5129230ed98c,1,dead,contract,monster-buds
0x24ecf1ad3b724f5ce24ff506d3abe294943bc314,1,dead,never-sent,monster-buds
0x0628f16e2d1c51f6fe84d4300b63330e75e3a183,1,dead,contract,monster-buds
0x0b1c34dc7d2ca783dddf4a04b4103fb39afb3296,1,dead,contract,monster-buds
0x32a1874657673c8403059cb30880612af7d2c9c6,1,dead,contract,monster-buds
0xc4ef68733ce0bbac45f02c2b183c9ce7c21843dd,1,dead,contract,monster-buds
0x6703c1c427229013648455fca1a5ad40b83dde5f,1,dead,contract,monster-buds
0xae6461da23ed144274c65d2710ac2fdffad729c0,1,dead,contract,monster-buds
0x3291eadce3a5779c37cd78d1ef8b6a25ab89685d,1,dead,contract,monster-buds
0x51b4a326b905789c171539a02eba0d1d875ede1d,1,dead,contract,monster-buds
0xd11e3e8815ab3bc592a032bd1b56b01a89d83a66,1,dead,contract,monster-buds
0x8d19203e5ec3bde9273023d396e17d342a7b33d4,1,dead,contract,monster-buds
0x58ecbc9b5ae73306fb948873a83c2c2e3742a015,1,dead,contract,monster-buds
0x31ca6ca7f7a3298bc6c5103aa45847f34e382a1c,1,dead,contract,monster-buds
0x0f356e10029fcaa866abc369594d5d19023238ca,1,dead,contract,monster-buds
0x5e0bf28934797cce28bdef8221182bdf82eba68a,1,dead,contract,monster-buds
0xc0d7b8234be1d8dcca64207d1cb17ff04b5eb85a,1,dead,contract,monster-buds
0x8d82dc35bd537c5217ab494205bf60b7d89ab5a8,1,dead,never-sent,monster-buds
0x9aedb4905df3839cb03be265dad406404f52593e,1,dead,contract,monster-buds
0x49e74e31787734c3543e99bfacd457cb8286b239,1,dead,contract,monster-buds
0xfe61033b252062e7ff0eba1ad4e38a66b09b66a7,1,dead,never-sent,monster-buds
0xa141722f2a6a1dcc11b69ed91f82d640fe80d543,1,dead,never-sent,monster-buds
0xe8f783fe39d4a69a8f537ff703b89a85eec77930,1,dead,never-sent,monster-buds
0xfaffa0ebbfa585f4499532243ed1efbed68caf1b,1,dead,never-sent,monster-buds
0x2c5c1d801a65daa06d2494d0e05ce0b656f63d16,1,dead,never-sent,monster-buds
0xb2d4980b7c2195a9a736e45e46d9938a5d459e0c,1,dead,never-sent,monster-buds
0x99f296ff497e44f57ce58632652a2306e7be4c3a,1,dead,contract,monster-buds
0xa2094a94ea92d24f8c5e644f3e206316c9d68856,1,dead,never-sent,monster-buds
0x41bff2c37f54c95cf0fe1143b08cc10f73d1b530,1,dead,contract,monster-buds
0x1a38210c0d3281bf864d6270c70d10a6c41db3ff,1,dead,never-sent,monster-buds
0x9537a6edd7fda1a44855439b988db09dc808c897,1,dead,never-sent,monster-buds
0x15a75a1c75bc8446b64878326ddb05215468591a,1,dead,never-sent,monster-buds
0x97d972cc8505b25ad3eb4ff1cc784e9df52b1d61,1,dead,never-sent,monster-buds
0x8fcab9b18ac26726c7bc6d812fa269124d8c7c11,1,dead,never-sent,monster-buds
0x006d56cad962b97c6739ff9de24f32915964367c,1,dead,never-sent,monster-buds
0xd4c81bc471743da0f7e50d08b0057155538bfee9,1,dead,never-sent,monster-buds
0x98268948278e168d57e3409e42b9dfa97f0d7aed,1,dead,contract,monster-buds
0xca32ea8be39815c82f770a8c43495f9e1837cd0d,1,dead,never-sent,monster-buds
0xc54d623e4cd6722119d4256fbe956470117c139c,1,dead,contract,monster-buds
0x78ecde4db3a9fb80339bfd9e59e30d8990b28fef,1,dead,contract,monster-buds
0x76e0eddbb88203f959b43612cb1f8e9e661f036d,1,dead,never-sent,monster-buds
0x7f375c72cb7e04342d047e18198818ceafe345ab,1,dead,never-sent,monster-buds
0x7a331f60ff7eda98574ad419624991ff50f738e3,1,dead,contract,monster-buds
0xfb3436ec8f1df8657ed200e4458e63a23649b172,1,dead,never-sent,monster-buds
0xa1a8d11118f5322b5b19d4a4b5a9be1732b267ce,1,dead,never-sent,monster-buds
0x860a287f498ceeef7e74d1d592d958d37c68548e,1,dead,never-sent,monster-buds
0x3cf07e16fe6e83da958f345f6dbbc0956ad1c7b1,1,dead,never-sent,monster-buds
0x32e7fc036cd75a03dadc54671a1e435df0cc47a5,1,dead,never-sent,monster-buds
0xf0e5fbedbf83edc03b321860973ac48cc533c188,1,dead,contract,monster-buds
0x110f91fd6f5ae842c9b9cfca545a7bbdeb4817b1,1,dead,never-sent,monster-buds
0x83df398770a2cd94a2d3b2d4abf98ca94362279c,1,dead,never-sent,monster-buds
0x70e33a49d983cefe5de6065d4d6f0304104a7292,1,dead,never-sent,monster-buds
0xd6f5a5be96ed1c1413a40606029e4c1dc0a5a11c,1,dead,never-sent,monster-buds
0x78fbf73a9b05ffd541f346547625e3608a4fef1d,1,dead,never-sent,monster-buds
0xadd93b1acdfa3e865bd1e6495182e9f1ac5cc35b,1,dead,contract,monster-buds
0xe04c516928a5531d95c63862a46db0d84e3430f5,1,dead,never-sent,monster-buds
0x699a2ae5ca3cde2fb7b2cb69fc7089f2b893e3c8,1,dead,never-sent,monster-buds
0xc5972f97f3195b1c4e992900077ab46c5c395476,1,dead,never-sent,monster-buds
0x0fb1790274f57e7340edbdc3f296611d09b76d78,1,dead,never-sent,monster-buds
0x9f254a9ae086a5aef20a629c3285df8efe0c6a5c,1,dead,never-sent,monster-buds
0x7c5b21e07beac19004344a208d737f921ee2a41f,1,dead,never-sent,monster-buds
0x5fb15abe29cbaa0d5ff061b464f30d780288f1a5,1,dead,never-sent,monster-buds
0x1efdd22ebe99556276f80dc5c0789471707cf8eb,1,dead,contract,monster-buds
0xae6f7fd814638639bdb400c006fe79991a43fca5,1,dead,never-sent,monster-buds
0xa5439ee4e30e1da604b0be2648947f1335086b1d,1,dead,never-sent,monster-buds
0x5a4d476e413661087adb78557dfc69432cab6d08,1,dead,contract,monster-buds
0xd192583cb6e35181d9598e3a0f9a41f0b79bebdf,1,dead,never-sent,monster-buds
0xb3db97058fc7754afbbcaaaae29673019e109481,1,dead,never-sent,monster-buds
0x6ff97bd5de227c31b6e99c21801aaa8061c99a24,1,dead,never-sent,monster-buds
0xe02acc4adc054a607bba710a978d8a1be7692fe1,1,dead,never-sent,monster-buds
0x1b8526720fb575493eecca3e5053fc9fe6c12718,1,dead,never-sent,monster-buds
0x6abe7dc30b79c16b3700d9b87878499bfe01c6f3,1,dead,never-sent,monster-buds
0xf056b8d38de27c2be6930509f6e25c99e0c48704,1,dead,never-sent,monster-buds
0x0baba1ad5be3a5c0a66e7ac838a129bf948f1ea4,1,dead,contract,monster-buds
0xd631674a96daa538718009a38d32c74f33e1faa6,1,dead,never-sent,monster-buds
0xf11b329557485777b50313f5abddd71e5c969c44,1,dead,never-sent,monster-buds
0xceb20dddc9c9ead86d302d705bf02636ff906c59,1,dead,never-sent,monster-buds
0x7cd38139ea0bb92937e061cb863fb1b4e9f1ba4c,1,dead,contract,monster-buds
0xf2344cc0e8e2ac5b46e7c747d391a57834324919,1,dead,contract,monster-buds
0xb89d308480f43f8b1c66a6810ae7a304281a0622,1,dead,contract,monster-buds
0xf885167d8058e0b4bc901cf91579675a076d8316,1,dead,contract,monster-buds
